FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_071903.640,4263077.77,335724.74,673.21,11.37,14.45,42.29,270.70,89.02,2.495,57,55,73,1.19,1.18,0.03,,
20230719_071905.740,4263080.42,335725.66,672.94,11.74,14.70,42.51,270.67,88.83,0.397,58,53,71,1.19,1.18,0.03,,
20230719_072348.880,4263123.49,335747.30,673.85,7.73,11.21,23.63,270.00,90.02,2.484,27,17,14,0.63,0.62,-0.53,,
20230719_073441.500,4263078.02,335726.73,681.30,13.66,14.77,34.37,271.48,88.61,2.507,50,31,34,0.94,0.86,-0.25,,
20230719_073610.580,4263060.22,335752.28,704.84,13.61,15.80,33.19,271.77,89.50,2.473,49,44,35,1.01,0.91,-0.19,,
20230719_073748.660,4263157.14,335698.07,610.47,6.25,9.42,28.48,269.54,90.04,1.831,40,28,27,1.93,1.30,0.46,,
20230719_074647.820,4263090.36,335726.26,663.86,12.97,15.70,22.15,49.87,88.93,2.507,62,48,108,1.20,1.30,0.10,,
20230719_074724.340,4263079.24,335755.25,843.27,18.09,21.77,23.88,275.32,99.10,2.461,42,66,32,1.04,0.87,-0.19,,
20230719_074924.900,4263113.37,335738.83,655.89,14.03,17.49,43.65,88.99,90.93,2.489,31,19,14,0.61,0.61,-0.54,,
20230719_075003.440,4263062.19,335751.28,703.51,13.27,14.88,41.60,91.03,90.08,2.500,63,56,80,1.16,1.34,0.10,,
20230719_075010.100,4263066.91,335753.40,697.36,12.79,14.00,34.24,271.53,88.99,2.515,53,45,45,1.13,1.08,-0.04,,
20230719_075130.920,4263104.23,335761.07,703.27,11.33,12.97,43.49,271.74,90.54,2.509,60,41,74,1.27,1.28,0.13,,
20230719_080627.020,4263103.75,335734.66,681.03,15.18,15.98,25.43,89.93,90.97,2.483,71,74,85,1.22,1.19,0.06,,
20230719_080821.520,4263086.20,335663.31,638.62,11.40,12.17,25.59,89.56,91.00,2.517,60,40,72,1.06,1.05,-0.10,,
20230719_080827.020,4263094.08,335665.85,632.27,13.60,15.09,36.47,270.22,87.86,2.523,38,22,22,0.68,0.62,-0.50,,
20230719_081128.000,4263151.34,335689.26,611.96,12.80,16.20,30.51,87.62,91.95,2.500,32,20,13,0.35,0.53,-0.71,,
20230719_081400.440,4262998.42,335664.18,704.93,16.37,16.37,28.75,89.98,85.38,2.525,48,27,33,0.99,0.86,-0.22,,
20230719_082102.600,4262990.21,335735.14,699.75,14.50,14.92,27.19,272.25,88.73,2.463,48,29,31,1.05,0.96,-0.15,,
20230719_082154.000,4263081.00,335659.42,641.64,11.05,13.34,42.67,270.63,89.47,2.468,31,13,13,1.45,1.16,0.16,,
